folder,image,seed,auto_count
K0_incid,14,15,19
K0_incid,14,16,19
K0_incid,14,17,19
K0_incid,14,18,19
K0_incid,14,19,19
K0_incid,14,20,19
K0_incid,14,21,19
K0_incid,14,22,19
K0_incid,14,23,19
K0_incid,14,24,19
K0_incid,14,25,19
K0_incid,14,26,19
K0_incid,14,27,19
K0_incid,14,28,19
K0_incid,14,29,19
K0_incid,14,30,19
K0_incid,14,31,19
K0_incid,14,32,19
K0_incid,14,33,19
K0_incid,14,34,19
K0_incid,14,35,19
K0_incid,14,36,19
K0_incid,14,37,19
K0_incid,14,38,19
K0_incid,14,39,19
K0_incid,14,40,19
K0_incid,14,41,19
K0_incid,14,42,19
K0_incid,14,43,18
K0_incid,14,44,18
K0_incid,14,45,18
K0_incid,14,46,18
K0_incid,14,47,18
K0_incid,14,48,18
K0_incid,14,49,18
K0_incid,14,50,18
K0_incid,14,51,18
K0_incid,14,52,18
K0_incid,14,53,18
K0_incid,14,54,18
K0_incid,14,55,18
K0_incid,14,56,18
K0_incid,14,57,18
K0_incid,14,58,18
K0_incid,14,59,18
K0_incid,14,60,18
K0_incid,15,1,254
K0_incid,15,2,188
K0_incid,15,3,54
K0_incid,15,4,23
K0_incid,15,5,18
K0_incid,15,6,17
K0_incid,15,7,15
K0_incid,15,8,14
K0_incid,15,9,14
K0_incid,15,10,14
K0_incid,15,11,14
K0_incid,15,12,14
K0_incid,15,13,14
K0_incid,15,14,14
K0_incid,15,15,14
K0_incid,15,16,14
K0_incid,15,17,14
K0_incid,15,18,14
K0_incid,15,19,14
K0_incid,15,20,14
K0_incid,15,21,14
K0_incid,15,22,14
K0_incid,15,23,14
K0_incid,15,24,14
K0_incid,15,25,14
K0_incid,15,26,14
K0_incid,15,27,14
K0_incid,15,28,14
K0_incid,15,29,14
K0_incid,15,30,14
K0_incid,15,31,14
K0_incid,15,32,14
K0_incid,15,33,14
K0_incid,15,34,14
K0_incid,15,35,14
K0_incid,15,36,14
K0_incid,15,37,14
K0_incid,15,38,14
K0_incid,15,39,14
K0_incid,15,40,14
K0_incid,15,41,14
K0_incid,15,42,14
K0_incid,15,43,14
K0_incid,15,44,14
K0_incid,15,45,14
K0_incid,15,46,14
K0_incid,15,47,14
K0_incid,15,48,14
K0_incid,15,49,14
K0_incid,15,50,14
K0_incid,15,51,14
K0_incid,15,52,14
K0_incid,15,53,14
K0_incid,15,54,14
K0_incid,15,55,14
K0_incid,15,56,14
K0_incid,15,57,14
K0_incid,15,58,14
K0_incid,15,59,14
K0_incid,15,60,14
K0_incid,16,1,311
K0_incid,16,2,228
K0_incid,16,3,57
K0_incid,16,4,24
K0_incid,16,5,22
K0_incid,16,6,22
K0_incid,16,7,21
K0_incid,16,8,21
K0_incid,16,9,21
K0_incid,16,10,21
K0_incid,16,11,20
K0_incid,16,12,20
K0_incid,16,13,20
K0_incid,16,14,19
K0_incid,16,15,19
K0_incid,16,16,19
K0_incid,16,17,19
K0_incid,16,18,19
K0_incid,16,19,19
K0_incid,16,20,19
K0_incid,16,21,19
K0_incid,16,22,19
K0_incid,16,23,19
K0_incid,16,24,19
K0_incid,16,25,19
K0_incid,16,26,19
K0_incid,16,27,19
K0_incid,16,28,19
K0_incid,16,29,19
K0_incid,16,30,19
K0_incid,16,31,19
K0_incid,16,32,19
K0_incid,16,33,19
K0_incid,16,34,19
K0_incid,16,35,19
K0_incid,16,36,19
