,folder,image,object,minor_axis,major_axis,mean_gray
131,K0_incid,13,8,72.937484018081,73.3508909543504,70.2919047619
132,K0_incid,13,9,72.77341193487091,73.49883248139078,69.3634198619
133,K0_incid,13,10,73.12336172276942,73.46860816233261,69.9935973441
134,K0_incid,13,11,72.23821930364221,72.618352429354,69.6006801069
135,K0_incid,14,1,70.52741520068767,73.00140905524847,69.4971555775
136,K0_incid,14,2,72.27090727925025,72.69035269804658,70.5995151515
137,K0_incid,14,3,71.14904441754126,73.31001177352108,69.529296875
138,K0_incid,14,4,71.00127343028672,72.13206026011291,69.0778219791
139,K0_incid,14,5,72.04543765714308,72.34480188966701,70.396042023
140,K0_incid,14,6,72.04977747560231,73.690562375299,68.7486207724
141,K0_incid,14,7,72.25483637247623,73.1816834932896,69.32586705199999
142,K0_incid,14,8,72.05936779998416,72.48948240764616,70.3365032919
143,K0_incid,14,9,71.69622312091354,73.49747733424056,69.3093281779
144,K0_incid,14,10,71.05039691674347,72.5755522775663,69.79254136819999
145,K0_incid,14,11,72.44892824022499,72.67769248204192,69.8268440145
146,K0_incid,14,12,72.37928320660487,73.48224341320116,70.4161877395
147,K0_incid,14,13,72.22207339974202,74.90499782034107,75.0458628842
148,K0_incid,15,1,71.00994530850156,73.70389681288054,67.704379562
149,K0_incid,15,6,70.96830831934894,72.31815243105285,68.552853598
154,K0_incid,15,14,73.02071173497454,73.32794498247496,69.555529132
155,K0_incid,15,15,72.47429683990856,73.11903915334017,70.4566210046
156,K0_incid,15,16,72.14836413805351,72.73654254038912,70.3819461296
157,K0_incid,15,17,72.10547269889108,72.72839800921491,69.5721223895
158,K0_incid,15,18,72.07070672753584,72.44189621738133,69.84219512199999
159,K0_incid,15,19,79.7280302655463,81.05973241072948,67.1138916256
160,K0_incid,15,20,72.29291325443073,73.25162660692791,70.2946127946
161,K0_incid,15,21,71.99443667659891,72.73630773819723,72.0977626459
162,K0_incid,15,22,72.42068961715276,73.17510913099,70.1353040135
163,K0_incid,16,1,71.62962402228858,72.98151731727332,69.227771011
164,K0_incid,16,3,72.12488989953759,72.26663430822704,70.0422672856
165,K0_incid,16,5,72.71035496503805,73.19082941782065,70.3372426999
166,K0_incid,16,6,72.69956514964638,74.16654870514729,70.78129428439999
167,K0_incid,16,8,71.89896907652185,72.58924591415945,69.6132259639
170,K0_incid,16,12,71.84890600730445,72.33684797150525,70.1242951704
171,K0_incid,16,13,72.63384692127663,72.9788942122167,70.54709274390001
172,K0_incid,16,14,72.50252226674183,72.94105173263657,70.98579340239999
173,K0_incid,16,15,72.48210802898895,73.49824305993873,70.75352617739999
174,K0_incid,16,16,72.1181023306258,73.46155186768084,68.908543923
175,K0_incid,16,17,72.40180272631233,73.78131201331884,70.9594755662
176,K0_incid,16,18,72.13804628784244,73.22849958408955,70.176513142
177,K0_incid,17,1,72.38018510028895,73.20744607425789,70.3052150925
178,K0_incid,17,2,72.32170886760214,73.07730786999647,71.0204819277
179,K0_incid,17,5,71.90483476433181,72.09417462234755,71.8133136821
180,K0_incid,17,6,71.80231862141152,73.69150130353974,69.6996389892
181,K0_incid,17,7,72.15313667149556,72.99652348198424,70.4434235977
182,K0_incid,17,8,71.87826986284679,73.0484671850113,69.5309240844
183,K0_incid,17,9,72.62118199644071,73.50511276394319,69.695610687
184,K0_incid,17,10,71.80809577754903,72.59761245314338,70.5786516854
185,K0_incid,17,11,72.48511682001335,73.08138987867136,71.31714354409999
186,K0_incid,17,12,72.85783618125359,73.72731670197699,69.6514935989
187,K0_incid,17,13,72.52177846698052,73.75250709543035,70.1092857143
188,K0_incid,17,14,72.87962498406175,73.64952088175595,70.2804270463
189,K0_incid,17,15,71.92130770258413,73.63967526901172,70.8747295023
190,K0_incid,18,2,72.75620131571445,73.39254833820009,73.4710231338
191,K0_incid,18,3,72.47683358252858,73.34576687618338,70.3706276953
192,K0_incid,18,4,72.61263892269595,73.04588924342801,71.06218487390001
193,K0_incid,18,5,71.54621724425671,73.53544924138346,70.7361413701
194,K0_incid,18,7,72.90836816436686,73.30364178714045,71.93066476050001
195,K0_incid,18,9,71.71715478299176,73.00369755506784,69.5716370713
196,K0_incid,18,10,72.18189830295992,74.4027183497438,68.9855278766
197,K0_incid,18,11,73.20448495629901,73.81106956868142,70.2429884516
198,K0_incid,18,12,71.71525468205346,73.45826995950317,68.8996857626
199,K0_incid,18,13,71.46498838388946,73.53569660511141,69.7550278653
200,K0_incid,18,14,72.13148980190894,72.80770425919238,69.2635790495
201,K0_incid,18,15,72.33006948193876,72.88670228580085,68.7504830918
202,K0_incid,18,16,73.1782906461216,74.88124785746847,70.05578800560001
203,K0_incid,18,17,71.83780059127366,72.75456981938645,69.03508771930001
204,K0_incid,18,18,72.62912545280525,73.22950462187859,69.5193965517
205,K0_incid,19,1,72.32294444315448,74.4883432360512,69.5384433404
206,K0_incid,19,2,72.71283672293346,74.36003102758681,71.4963486455
207,K0_incid,19,3,73.37266947938858,74.90872140427625,71.35134508350001
208,K0_incid,19,4,73.21246243447209,73.55930770970245,73.3317569165
209,K0_incid,19,5,73.8064658522309,74.43946451343147,71.1847473343
210,K0_incid,19,6,73.57112594613213,74.01367382488931,73.4985968195
211,K0_incid,19,7,72.61825010802401,75.15341694112962,72.6386554622
