folder,image,initial_radius,delta_radius,auto_withborder,auto_noborder
K0_incid,5,40,18,0,0
K0_incid,5,40,20,0,0
K0_incid,6,5,2,23,16
K0_incid,6,5,4,22,16
K0_incid,6,5,6,20,13
K0_incid,6,5,8,22,16
K0_incid,6,5,10,18,13
K0_incid,6,5,12,19,13
K0_incid,6,5,14,19,13
K0_incid,6,5,16,19,13
K0_incid,6,5,18,19,13
K0_incid,6,5,20,18,13
K0_incid,6,10,2,25,14
K0_incid,6,10,4,21,13
K0_incid,6,10,6,22,13
K0_incid,6,10,8,17,13
K0_incid,6,10,10,20,14
K0_incid,6,10,12,19,13
K0_incid,6,10,14,17,13
K0_incid,6,10,16,17,13
K0_incid,6,10,18,20,13
K0_incid,6,10,20,18,13
K0_incid,6,15,2,21,16
K0_incid,6,15,4,18,13
K0_incid,6,15,6,20,16
K0_incid,6,15,8,18,13
K0_incid,6,15,10,16,13
K0_incid,6,15,12,16,13
K0_incid,6,15,14,17,13
K0_incid,6,15,16,17,13
K0_incid,6,15,18,17,13
K0_incid,6,15,20,15,12
K0_incid,6,20,2,22,14
K0_incid,6,20,4,20,14
K0_incid,6,20,6,18,14
K0_incid,6,20,8,20,14
K0_incid,6,20,10,18,14
K0_incid,6,20,12,18,14
K0_incid,6,20,14,17,14
K0_incid,6,20,16,15,13
K0_incid,6,20,18,15,13
K0_incid,6,20,20,15,13
K0_incid,6,25,2,16,13
K0_incid,6,25,4,16,13
K0_incid,6,25,6,16,13
K0_incid,6,25,8,16,13
K0_incid,6,25,10,15,13
K0_incid,6,25,12,15,13
K0_incid,6,25,14,15,13
K0_incid,6,25,16,15,13
K0_incid,6,25,18,15,13
K0_incid,6,25,20,15,13
K0_incid,6,30,2,16,13
K0_incid,6,30,4,16,13
K0_incid,6,30,6,16,13
K0_incid,6,30,8,16,13
K0_incid,6,30,10,16,13
K0_incid,6,30,12,16,13
K0_incid,6,30,14,16,13
K0_incid,6,30,16,16,13
K0_incid,6,30,18,16,13
K0_incid,6,30,20,16,13
K0_incid,6,35,2,12,10
K0_incid,6,35,4,12,10
K0_incid,6,35,6,12,10
K0_incid,6,35,8,12,10
K0_incid,6,35,10,12,10
