folder,image,initial_radius,delta_radius,auto_count
K0_incid,7,25,12,18
K0_incid,7,25,14,18
K0_incid,7,25,16,18
K0_incid,7,25,18,18
K0_incid,7,25,20,18
K0_incid,7,30,2,17
K0_incid,7,30,4,17
K0_incid,7,30,6,16
K0_incid,7,30,8,16
K0_incid,7,30,10,16
K0_incid,7,30,12,16
K0_incid,7,30,14,16
K0_incid,7,30,16,16
K0_incid,7,30,18,16
K0_incid,7,30,20,16
K0_incid,7,35,2,12
K0_incid,7,35,4,12
K0_incid,7,35,6,12
K0_incid,7,35,8,12
K0_incid,7,35,10,12
K0_incid,7,35,12,12
K0_incid,7,35,14,12
K0_incid,7,35,16,12
K0_incid,7,35,18,12
K0_incid,7,35,20,12
K0_incid,7,40,2,1
K0_incid,7,40,4,1
K0_incid,7,40,6,1
K0_incid,7,40,8,1
K0_incid,7,40,10,1
K0_incid,7,40,12,1
K0_incid,7,40,14,1
K0_incid,7,40,16,1
K0_incid,7,40,18,1
K0_incid,7,40,20,1
K0_incid,8,5,2,22
K0_incid,8,5,4,22
K0_incid,8,5,6,22
K0_incid,8,5,8,22
K0_incid,8,5,10,22
K0_incid,8,5,12,22
K0_incid,8,5,14,22
K0_incid,8,5,16,21
K0_incid,8,5,18,21
K0_incid,8,5,20,22
K0_incid,8,10,2,22
K0_incid,8,10,4,22
K0_incid,8,10,6,22
K0_incid,8,10,8,22
K0_incid,8,10,10,22
K0_incid,8,10,12,22
K0_incid,8,10,14,21
K0_incid,8,10,16,22
K0_incid,8,10,18,22
K0_incid,8,10,20,22
K0_incid,8,15,2,22
K0_incid,8,15,4,22
K0_incid,8,15,6,22
K0_incid,8,15,8,22
K0_incid,8,15,10,22
K0_incid,8,15,12,22
K0_incid,8,15,14,22
K0_incid,8,15,16,22
K0_incid,8,15,18,22
K0_incid,8,15,20,22
K0_incid,8,20,2,19
K0_incid,8,20,4,19
K0_incid,8,20,6,19
K0_incid,8,20,8,19
K0_incid,8,20,10,19
K0_incid,8,20,12,19
K0_incid,8,20,14,19
K0_incid,8,20,16,18
K0_incid,8,20,18,18
K0_incid,8,20,20,18
K0_incid,8,25,2,19
K0_incid,8,25,4,19
K0_incid,8,25,6,19
K0_incid,8,25,8,19
K0_incid,8,25,10,19
K0_incid,8,25,12,19
