image,initial_radius,delta_radius,auto_withborder,auto_noborder
13,5,6,44,34
13,5,8,38,28
13,5,10,37,27
13,5,12,38,28
13,5,14,40,30
13,5,16,38,28
13,5,18,36,26
13,5,20,36,26
13,10,2,44,36
13,10,4,41,33
13,10,6,38,29
13,10,8,41,33
13,10,10,37,28
13,10,12,37,28
13,10,14,37,28
13,10,16,41,32
13,10,18,37,28
13,10,20,37,28
13,15,2,39,32
13,15,4,37,30
13,15,6,33,26
13,15,8,36,29
13,15,10,33,26
13,15,12,33,26
13,15,14,34,27
13,15,16,36,29
13,15,18,33,26
13,15,20,33,26
13,20,2,37,31
13,20,4,33,26
13,20,6,32,26
13,20,8,33,26
13,20,10,32,25
13,20,12,32,25
13,20,14,32,25
13,20,16,33,26
13,20,18,32,25
13,20,20,31,24
13,25,2,31,27
13,25,4,27,23
13,25,6,28,24
13,25,8,26,22
13,25,10,26,22
13,25,12,27,23
13,25,14,26,22
13,25,16,25,21
13,25,18,26,22
13,25,20,25,21
13,30,2,27,24
13,30,4,26,23
13,30,6,27,24
13,30,8,22,19
13,30,10,22,19
13,30,12,26,23
13,30,14,22,19
13,30,16,22,19
13,30,18,22,19
13,30,20,22,19
13,35,2,23,21
13,35,4,22,20
13,35,6,21,19
13,35,8,19,17
13,35,10,18,16
13,35,12,21,19
13,35,14,18,16
13,35,16,18,16
13,35,18,18,16
13,35,20,18,16
13,40,2,12,12
13,40,4,8,8
13,40,6,8,8
13,40,8,8,8
13,40,10,8,8
13,40,12,8,8
13,40,14,8,8
13,40,16,8,8
13,40,18,8,8
13,40,20,8,8
14,5,2,63,55
14,5,4,54,45
14,5,6,53,44
14,5,8,51,42
14,5,10,53,44
14,5,12,49,40
14,5,14,49,40
14,5,16,48,40
14,5,18,48,39
14,5,20,47,38
14,10,2,66,61
14,10,4,51,44
14,10,6,54,48
14,10,8,49,42
14,10,10,56,49
14,10,12,48,41
14,10,14,49,42
14,10,16,46,39
14,10,18,45,38
14,10,20,45,38
14,15,2,52,46
14,15,4,51,45
14,15,6,51,45
14,15,8,49,43
14,15,10,48,42
14,15,12,47,41
14,15,14,45,39
14,15,16,45,39
14,15,18,46,40
14,15,20,46,40
14,20,2,57,51
14,20,4,55,49
14,20,6,50,44
14,20,8,51,45
14,20,10,50,44
14,20,12,48,42
14,20,14,47,41
14,20,16,50,44
14,20,18,48,41
14,20,20,44,38
14,25,2,38,35
14,25,4,36,33
14,25,6,35,32
14,25,8,36,33
14,25,10,36,33
14,25,12,35,32
14,25,14,36,33
14,25,16,35,32
14,25,18,34,31
14,25,20,34,31
14,30,2,35,34
14,30,4,30,29
14,30,6,32,31
14,30,8,29,28
14,30,10,30,29
14,30,12,28,27
14,30,14,27,26
14,30,16,27,26
14,30,18,27,26
14,30,20,27,26
14,35,2,26,26
14,35,4,26,26
14,35,6,25,25
14,35,8,24,24
14,35,10,24,24
14,35,12,24,24
14,35,14,24,24
14,35,16,24,24
14,35,18,24,24
14,35,20,24,24
14,40,2,12,12
14,40,4,12,12
14,40,6,12,12
14,40,8,12,12
14,40,10,12,12
14,40,12,12,12
14,40,14,12,12
14,40,16,12,12
14,40,18,12,12
14,40,20,12,12
15,5,2,56,48
15,5,4,40,33
15,5,6,43,35
15,5,8,36,29
15,5,10,40,33
15,5,12,37,30
15,5,14,37,30
15,5,16,36,29
15,5,18,39,32
15,5,20,36,29
15,10,2,39,35
15,10,4,36,32
15,10,6,35,31
15,10,8,35,31
15,10,10,34,30
15,10,12,35,31
15,10,14,34,30
15,10,16,32,28
15,10,18,32,28
15,10,20,32,28
15,15,2,40,36
15,15,4,37,33
15,15,6,31,27
15,15,8,35,31
15,15,10,34,30
15,15,12,31,27
15,15,14,30,26
15,15,16,33,29
15,15,18,31,27
15,15,20,31,27
15,20,2,31,27
15,20,4,30,26
15,20,6,30,26
15,20,8,29,25
15,20,10,29,25
15,20,12,30,26
15,20,14,29,25
15,20,16,29,25
15,20,18,29,25
15,20,20,29,25
15,25,2,31,28
15,25,4,29,26
15,25,6,30,27
15,25,8,29,26
15,25,10,28,25
15,25,12,28,25
15,25,14,28,25
15,25,16,29,26
15,25,18,27,24
15,25,20,27,24
15,30,2,18,16
15,30,4,17,15
15,30,6,17,15
15,30,8,17,15
15,30,10,17,15
15,30,12,16,14
15,30,14,16,14
15,30,16,16,14
15,30,18,16,14
15,30,20,16,14
15,35,2,11,11
15,35,4,10,10
15,35,6,11,11
15,35,8,10,10
15,35,10,10,10
15,35,12,10,10
15,35,14,10,10
15,35,16,10,10
15,35,18,10,10
15,35,20,10,10
15,40,2,5,5
15,40,4,5,5
15,40,6,5,5
15,40,8,5,5
15,40,10,5,5
15,40,12,5,5
15,40,14,5,5
15,40,16,5,5
15,40,18,5,5
15,40,20,5,5
16,5,2,48,40
16,5,4,38,32
16,5,6,39,33
16,5,8,35,29
16,5,10,37,31
16,5,12,37,31
16,5,14,38,32
16,5,16,36,30
16,5,18,37,31
16,5,20,34,28
16,10,2,40,34
16,10,4,36,30
16,10,6,35,30
16,10,8,35,29
16,10,10,33,28
16,10,12,33,28
16,10,14,33,28
16,10,16,34,29
16,10,18,31,26
16,10,20,31,26
16,15,2,36,31
16,15,4,34,29
16,15,6,32,28
16,15,8,33,28
16,15,10,32,28
16,15,12,31,27
16,15,14,30,26
16,15,16,30,26
16,15,18,31,27
16,15,20,31,27
16,20,2,32,28
16,20,4,31,27
16,20,6,32,28
16,20,8,30,26
16,20,10,30,26
16,20,12,31,27
16,20,14,30,26
16,20,16,30,26
16,20,18,30,26
16,20,20,30,26
16,25,2,29,25
16,25,4,28,25
16,25,6,27,24
16,25,8,28,25
16,25,10,27,24
16,25,12,27,24
16,25,14,27,24
16,25,16,28,25
16,25,18,26,23
16,25,20,26,23
16,30,2,20,17
16,30,4,19,16
16,30,6,19,16
16,30,8,19,16
16,30,10,19,16
16,30,12,19,16
16,30,14,18,15
16,30,16,18,15
16,30,18,18,15
16,30,20,18,15
16,35,2,12,12
16,35,4,11,11
16,35,6,12,12
16,35,8,11,11
16,35,10,11,11
16,35,12,11,11
16,35,14,11,11
16,35,16,11,11
16,35,18,11,11
16,35,20,11,11
16,40,2,6,6
16,40,4,6,6
16,40,6,6,6
16,40,8,6,6
16,40,10,6,6
16,40,12,6,6
16,40,14,6,6
16,40,16,6,6
16,40,18,6,6
16,40,20,6,6
17,5,2,41,28
17,5,4,39,26
17,5,6,38,25
17,5,8,39,26
17,5,10,38,25
17,5,12,38,25
17,5,14,38,25
17,5,16,39,26
17,5,18,38,25
17,5,20,38,25
17,10,2,42,33
17,10,4,37,28
17,10,6,38,29
17,10,8,35,26
17,10,10,37,28
17,10,12,35,26
17,10,14,35,26
17,10,16,35,26
17,10,18,34,25
17,10,20,34,25
17,15,2,33,27
17,15,4,32,26
17,15,6,32,26
17,15,8,32,26
17,15,10,30,24
17,15,12,32,26
17,15,14,30,24
17,15,16,30,24
17,15,18,30,24
17,15,20,30,24
17,20,2,35,32
17,20,4,33,30
17,20,6,28,25
17,20,8,28,25
17,20,10,30,27
17,20,12,27,24
17,20,14,27,24
17,20,16,28,25
17,20,18,28,25
17,20,20,30,27
17,25,2,27,26
17,25,4,25,24
17,25,6,25,24
17,25,8,24,23
17,25,10,24,23
17,25,12,25,24
17,25,14,26,25
17,25,16,24,23
17,25,18,24,23
17,25,20,24,23
17,30,2,30,30
17,30,4,25,25
17,30,6,25,25
17,30,8,24,24
17,30,10,26,26
17,30,12,24,24
17,30,14,23,23
17,30,16,23,23
17,30,18,23,23
17,30,20,23,23
17,35,2,21,21
17,35,4,20,20
17,35,6,18,18
17,35,8,18,18
17,35,10,18,18
17,35,12,18,18
17,35,14,18,18
17,35,16,18,18
17,35,18,18,18
17,35,20,18,18
17,40,2,16,16
17,40,4,15,15
17,40,6,15,15
17,40,8,15,15
17,40,10,15,15
17,40,12,15,15
17,40,14,15,15
17,40,16,15,15
17,40,18,15,15
17,40,20,15,15
18,5,2,49,45
18,5,4,44,40
18,5,6,41,37
18,5,8,40,36
18,5,10,39,35
18,5,12,39,35
18,5,14,40,36
18,5,16,37,33
18,5,18,37,33
18,5,20,36,32
18,10,2,50,49
18,10,4,41,40
18,10,6,41,40
18,10,8,38,37
18,10,10,35,34
18,10,12,37,36
18,10,14,34,33
18,10,16,35,34
18,10,18,34,33
18,10,20,34,33
18,15,2,39,39
18,15,4,35,35
18,15,6,37,37
18,15,8,35,35
18,15,10,34,34
18,15,12,34,34
18,15,14,35,35
18,15,16,34,34
