Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
ky6eCkeuksY,Mãe relata como foi a reação de bebe após receber vacina,no,,1510078199,00:02:58,Balanço Geral Itajaí,UCyvhqROV3luJvtt2dLTFhAA,People & Blogs,17850,166,15,0.090361,0,31,0,N,,Bayer
QSpPhj5HiWI,Vacinação contra a gripe - Você Bonita (09/04/19),no,,1554833688,00:19:26,Você Bonita,UCxucJ9P3mLMneYypLZYn2uw,Howto & Style,17806,441,28,0.063492,0,94,0,N,,IKEA; Cosmoprof
Xe7Fk9Oydl8,Pais decidem não vacinar os filhos por medo das reações que as vacinas podem provocar,yes,4,1505496847,00:11:55,Hoje em Dia,UCN-opsqqDunWO6h5uCp9Y4g,Entertainment,17733,229,47,0.20524,0,407,0,Y,O; F; L; E; J,
BBumt4RY9z8,Mitos e Verdades sobre a Vacina da gripe e suas reações,no,,1524488401,00:07:28,Almanaque dos Pais,UCy7oVBYY0FGXeeJpy6ITXxQ,People & Blogs,17415,1040,20,0.019231,0,136,0,N,,Beru; Poseidon Expeditions
e0fAwNazC8s,#FalaGotinha - Vacinas para crianças de 1 a 4 anos,no,,1546024103,00:01:05,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,17402,202,17,0.084158,0,0,1,N,,
PnF0X7gY4io,DANIEL BECKER RESPONDE - VACINAR OU NÃO OS FILHOS? - CRIAR E CRESCER,no,,1473255251,00:05:52,Criar e Crescer,UCgbbjw8zPkrmmL_XU1SgJBg,Education,17331,748,40,0.053476,0,88,0,Y,G; N,OPPO; Mobil
ruQ0rLeSeVo,Vacinas e efeito rebanho | Animações #13,no,,1569247212,00:00:50,Drauzio Varella,UC9zqTTVeClpqMQ5CLuJdWtw,Science & Technology,17329,3510,19,0.005413,0,166,0,N,,Universal Pictures
eJYJYBodH6U,Gravidez  só um mês após a vacina,no,,1517521430,00:03:17,Jornal da Gazeta,UCNl_i-ggJbZNyOLlhE7yyhw,News & Politics,16867,117,5,0.042735,0,9,0,N,,Incredible India; XX Network
m7ctAH51DzQ,Bill Gates diz que vai reduzir 10 a 15% da população mundial através da vacinação...,no,,1308689296,00:02:25,Paulo Almeida,UCKfap1xgEqqAhN7jtYgDsYg,Entertainment,16555,133,22,0.165414,0,18,0,Y,N; D; J; A; P; O,
57tSQas4ViI,Alemanha quer multar quem não vacinar crianças contra sarampo,no,,1557160041,00:00:25,euronews (em português),UCUmEPYxmnyQDeRUcFkslmQw,News & Politics,16063,57,8,0.140351,0,5,0,N,,
7QNHecXOEOw,VACINA ATRASADA - como colocar em dia?,no,,1470255803,00:03:47,WELIDA DANCINI,UCORRcj9wv5DEYCEg2LhBcLQ,People & Blogs,15999,242,19,0.078512,0,21,0,N,,Magenta; IKEA
tMgs-BPcswk,Febre Amarela: que países exigem a vacina? DICAS DE VIAGEM,no,,1494975602,00:10:22,Viajante Independente,UC2visps0yULA5lnn5Yjne9w,Travel & Events,15710,740,11,0.014865,0,97,0,N,,
QHZkGJCXlFw,A vacina da gripe causa reação?,no,,1524166590,00:00:52,Ministério da Saúde,UC12zKGLhMhDeDidoctM6BrA,Nonprofits & Activism,15659,92,14,0.152174,0,7,0,N,,
5LflRyTSVD8,Saúde: mitos e verdades sobre vírus influenza e a vacina da gripe,no,,1428901612,00:06:52,TV Chris Flores,UCmvavXl7cZAx-qXoDrmEqvw,People & Blogs,14896,195,15,0.076923,0,17,0,N,,
